,eval,k,train_split,quantile,regular_precision,regular_recall,regular_f1-score,regular_support,critical_precision,critical_recall,critical_f1-score,critical_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,accuracy
42,3,3,0.1,0.25,0.8333333333333334,0.8,0.816326530612245,25,0.4444444444444444,0.5,0.47058823529411764,8,0.6388888888888888,0.65,0.6434573829531813,33,0.7390572390572392,0.7272727272727273,0.7325111862926991,33,0.7272727272727273
43,4,3,0.1,0.25,0.8333333333333334,0.8,0.816326530612245,25,0.4444444444444444,0.5,0.47058823529411764,8,0.6388888888888888,0.65,0.6434573829531813,33,0.7390572390572392,0.7272727272727273,0.7325111862926991,33,0.7272727272727273
44,5,3,0.1,0.25,0.8695652173913043,0.8,0.8333333333333333,25,0.5,0.625,0.5555555555555556,8,0.6847826086956521,0.7125,0.6944444444444444,33,0.7799736495388669,0.7575757575757576,0.765993265993266,33,0.7575757575757576
45,1,4,0.1,0.05,1.0,0.5625,0.72,32,0.06666666666666667,1.0,0.125,1,0.5333333333333333,0.78125,0.4225,33,0.9717171717171719,0.5757575757575758,0.7019696969696969,33,0.5757575757575758
46,2,4,0.1,0.05,1.0,0.4375,0.6086956521739131,32,0.05263157894736842,1.0,0.1,1,0.5263157894736842,0.71875,0.35434782608695653,33,0.9712918660287082,0.45454545454545453,0.5932806324110673,33,0.45454545454545453
47,3,4,0.1,0.05,1.0,0.4375,0.6086956521739131,32,0.05263157894736842,1.0,0.1,1,0.5263157894736842,0.71875,0.35434782608695653,33,0.9712918660287082,0.45454545454545453,0.5932806324110673,33,0.45454545454545453
48,4,4,0.1,0.05,1.0,0.46875,0.6382978723404256,32,0.05555555555555555,1.0,0.10526315789473684,1,0.5277777777777778,0.734375,0.3717805151175812,33,0.9713804713804715,0.48484848484848486,0.6221453052360107,33,0.48484848484848486
49,5,4,0.1,0.05,1.0,0.375,0.5454545454545454,32,0.047619047619047616,1.0,0.0909090909090909,1,0.5238095238095238,0.6875,0.3181818181818182,33,0.9711399711399712,0.3939393939393939,0.5316804407713498,33,0.3939393939393939
50,1,4,0.1,0.1,1.0,0.3333333333333333,0.5,30,0.13043478260869565,1.0,0.23076923076923078,3,0.5652173913043478,0.6666666666666666,0.3653846153846154,33,0.9209486166007905,0.3939393939393939,0.4755244755244755,33,0.3939393939393939
51,2,4,0.1,0.1,1.0,0.3,0.4615384615384615,30,0.125,1.0,0.2222222222222222,3,0.5625,0.65,0.3418803418803419,33,0.9204545454545454,0.36363636363636365,0.43978243978243975,33,0.36363636363636365
52,3,4,0.1,0.1,1.0,0.3,0.4615384615384615,30,0.125,1.0,0.2222222222222222,3,0.5625,0.65,0.3418803418803419,33,0.9204545454545454,0.36363636363636365,0.43978243978243975,33,0.36363636363636365
53,4,4,0.1,0.1,1.0,0.3,0.4615384615384615,30,0.125,1.0,0.2222222222222222,3,0.5625,0.65,0.3418803418803419,33,0.9204545454545454,0.36363636363636365,0.43978243978243975,33,0.36363636363636365
54,5,4,0.1,0.1,1.0,0.3333333333333333,0.5,30,0.13043478260869565,1.0,0.23076923076923078,3,0.5652173913043478,0.6666666666666666,0.3653846153846154,33,0.9209486166007905,0.3939393939393939,0.4755244755244755,33,0.3939393939393939
55,1,4,0.1,0.25,0.9090909090909091,0.4,0.5555555555555556,25,0.3181818181818182,0.875,0.4666666666666667,8,0.6136363636363636,0.6375,0.5111111111111111,33,0.7658402203856749,0.5151515151515151,0.534006734006734,33,0.5151515151515151
56,2,4,0.1,0.25,0.875,0.28,0.42424242424242425,25,0.28,0.875,0.42424242424242425,8,0.5775,0.5775,0.42424242424242425,33,0.7307575757575758,0.42424242424242425,0.42424242424242425,33,0.42424242424242425
57,3,4,0.1,0.25,0.9,0.36,0.5142857142857143,25,0.30434782608695654,0.875,0.4516129032258065,8,0.6021739130434782,0.6174999999999999,0.4829493087557604,33,0.7555994729907773,0.48484848484848486,0.4990923055439185,33,0.48484848484848486
58,4,4,0.1,0.25,0.8888888888888888,0.32,0.47058823529411764,25,0.2916666666666667,0.875,0.43750000000000006,8,0.5902777777777778,0.5975,0.4540441176470589,33,0.744107744107744,0.45454545454545453,0.46256684491978606,33,0.45454545454545453
59,5,4,0.1,0.25,0.9090909090909091,0.4,0.5555555555555556,25,0.3181818181818182,0.875,0.4666666666666667,8,0.6136363636363636,0.6375,0.5111111111111111,33,0.7658402203856749,0.5151515151515151,0.534006734006734,33,0.5151515151515151
