,fpr,tpr,threshold,eval,k,train_split,quantile
338,0.08,0.125,0.9852498,1,3,0.1,0.25
339,0.16,0.125,0.9464008,1,3,0.1,0.25
340,0.16,0.375,0.7895442,1,3,0.1,0.25
341,0.2,0.375,0.7510988,1,3,0.1,0.25
342,0.2,0.625,0.45932764,1,3,0.1,0.25
343,0.72,0.625,0.20473877,1,3,0.1,0.25
344,0.72,0.75,0.14797308,1,3,0.1,0.25
345,0.96,0.75,0.007329167,1,3,0.1,0.25
346,0.96,1.0,0.0035540052,1,3,0.1,0.25
347,1.0,1.0,0.002486964,1,3,0.1,0.25
348,0.0,0.0,1.9987992,2,3,0.1,0.25
349,0.04,0.0,0.9987992,2,3,0.1,0.25
350,0.08,0.0,0.9972072,2,3,0.1,0.25
351,0.08,0.125,0.9842494,2,3,0.1,0.25
352,0.16,0.125,0.9586436,2,3,0.1,0.25
353,0.16,0.375,0.79790825,2,3,0.1,0.25
354,0.2,0.375,0.77102995,2,3,0.1,0.25
355,0.2,0.5,0.7653918,2,3,0.1,0.25
356,0.28,0.5,0.5716767,2,3,0.1,0.25
357,0.28,0.625,0.5397188,2,3,0.1,0.25
358,0.68,0.625,0.15776603,2,3,0.1,0.25
359,0.68,0.75,0.12716712,2,3,0.1,0.25
360,0.92,0.75,0.011024036,2,3,0.1,0.25
361,0.92,0.875,0.0038807217,2,3,0.1,0.25
362,0.96,0.875,0.0032522222,2,3,0.1,0.25
363,0.96,1.0,0.00203734,2,3,0.1,0.25
364,1.0,1.0,0.0011768613,2,3,0.1,0.25
365,0.0,0.0,1.9988873,3,3,0.1,0.25
366,0.04,0.0,0.99888724,3,3,0.1,0.25
367,0.08,0.0,0.9973949,3,3,0.1,0.25
368,0.08,0.125,0.99066305,3,3,0.1,0.25
369,0.16,0.125,0.9549509,3,3,0.1,0.25
370,0.16,0.5,0.8072008,3,3,0.1,0.25
371,0.2,0.5,0.7140673,3,3,0.1,0.25
372,0.2,0.625,0.49649197,3,3,0.1,0.25
373,0.68,0.625,0.14131904,3,3,0.1,0.25
374,0.68,0.75,0.13908403,3,3,0.1,0.25
375,0.96,0.75,0.0070522726,3,3,0.1,0.25
376,0.96,1.0,0.0027625125,3,3,0.1,0.25
377,1.0,1.0,0.0018678416,3,3,0.1,0.25
378,0.0,0.0,1.9986446,4,3,0.1,0.25
379,0.04,0.0,0.99864465,4,3,0.1,0.25
380,0.08,0.0,0.9965282,4,3,0.1,0.25
381,0.08,0.125,0.9878555,4,3,0.1,0.25
382,0.12,0.125,0.9716067,4,3,0.1,0.25
383,0.12,0.25,0.9553209,4,3,0.1,0.25
384,0.16,0.25,0.93660456,4,3,0.1,0.25
385,0.16,0.5,0.7205183,4,3,0.1,0.25
386,0.24,0.5,0.48269996,4,3,0.1,0.25
387,0.24,0.625,0.46099812,4,3,0.1,0.25
388,0.76,0.625,0.117596224,4,3,0.1,0.25
389,0.76,0.75,0.10320007,4,3,0.1,0.25
