,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
55,0.1401795,0.1661922,0.17406519,-0.25303522,0.39622453,-0.59635425,-0.10685317,0.54814464,-0.05626008,-0.027888283,0.21288806,-1.0400424,-0.013473903,0.7216393,-0.16446611,-0.021344341,0
56,0.004943736,0.28035468,-0.7642453,0.55429554,-0.024533547,-0.5489114,0.19955525,1.3227173,-0.35423258,0.1793297,0.0029431435,-0.7462044,0.13864356,-0.2458778,0.1222253,0.06839748,0
57,0.21112727,-0.025728613,-0.14770657,-0.26790208,-0.7119239,-0.5760205,-0.19739747,0.3747152,-1.0729237,-0.14491841,0.4085146,-0.77473974,0.365708,0.3530927,-0.06901782,0.4727944,0
58,0.24780366,0.23976587,0.35960007,0.45273772,0.8722082,-1.1920955,-0.3978606,0.84930176,-0.24344687,-1.8726002,-0.23327039,0.07694888,0.34202042,0.0034920275,0.17929806,-0.5295061,0
59,-0.21547912,-0.8362949,0.67499465,-0.5213477,-0.45772147,0.38133827,0.46127075,0.5812739,-0.13011172,-0.13912247,0.25852355,0.34714514,-0.26947868,0.15950957,0.8420763,-0.681151,0
60,0.438197,-0.036568437,-0.16608985,0.14224315,-0.1911672,0.08080005,-0.19878916,-0.62388146,0.5497,0.23898128,-0.4416556,-0.507541,0.8686546,-0.20093727,0.016243547,-0.08736171,1
61,0.24446405,0.09594768,-0.33954507,0.47152448,-0.51247793,0.30647093,-0.13028683,-0.5861208,0.3457609,0.6575458,0.16418496,-0.85691833,-0.043051243,0.0871989,0.56483054,-0.43289942,1
62,-0.5374754,0.09432438,0.42962432,-0.39295045,-0.81425875,-0.29662198,-0.62175524,-0.15707532,-0.20734414,0.10830883,0.28280768,0.6802876,-0.1163881,-0.29597694,-0.7007562,0.08431496,0
63,0.16176748,-0.05072102,0.59104145,0.08002874,-0.7931912,-0.25864193,-0.12238589,0.12566954,-0.42777795,0.21527894,0.8934425,-0.1768063,0.007083446,-0.3414134,-0.8321981,-0.017769158,0
64,-0.5058911,-0.4878795,-0.20265211,-0.3285689,-0.076174974,-1.5845298,-0.38506967,-0.34812343,-0.007382706,0.66628486,0.48103413,0.30507636,0.055883482,-0.29636306,-0.37497783,-0.0051127225,0
65,0.008611128,0.21305354,0.041832462,0.14887367,-0.9199337,-0.47756425,-0.6399298,-0.401783,0.04710473,0.4835922,0.7313547,-0.20653567,-0.604491,-0.24218638,-0.34018236,-0.36805147,0
66,-0.4405646,-1.108572,0.60478413,-0.55277014,0.64288354,-1.0872356,0.12565203,-0.8080009,-0.0061751306,0.44078362,-0.3019824,0.24428216,-0.066544786,-0.394809,0.36303282,-0.16053876,1
67,0.31776252,0.045024723,1.4333018,-0.9557378,0.6754612,-0.6195386,-0.20179729,0.23764837,-1.060765,-0.110508725,-0.8876901,0.6982059,0.533301,-0.16321564,0.63531935,-0.8284066,0
68,-0.5374754,0.09432438,0.42962432,-0.39295045,-0.81425875,-0.29662198,-0.62175524,-0.15707532,-0.20734414,0.10830883,0.28280768,0.6802876,-0.1163881,-0.29597694,-0.7007562,0.08431496,0
69,-0.9235568,-0.7064031,-0.22824663,-0.70052063,-0.07832712,-0.64134353,-0.37297186,-0.3407257,0.13596065,0.4243746,-0.10031809,0.40599957,0.24816662,0.35201058,-0.04043831,0.42276457,0
70,-0.16522971,0.4471936,0.6002711,-1.1034883,-0.045749456,-0.1736466,-0.7004212,0.7049236,-0.9186292,-0.12691772,-0.6860258,0.85992336,0.84801245,0.583604,0.23184821,-0.24510324,1
